"FOLIO","TIPO SERVICIO","ESTATUS","ZONA","FECHA SERVICIO","OPERADOR","TECNICO","COMPAÑIA","TIENDA","MARCA","MODELO","NUMERO DE SERIE","COMENTARIOS","COMENTARIOS","COMENTARIOS"
"202232","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2350393198 | 9 de marzo de 2020 07:40 hs.","Banco Multiposiciones Con Rack Incluido Pierna Brazo Pecho  $ 5990 GGBE1486",""
"202231","Icon","Nueva","Foraneo","2020-03-12","cristina","San Luis Potosi-Pedro Montiel","sears","san luis potosi centro - 301","proform","otro","","","pftl50717",""
"202230","Icon","Nueva","Local","2020-03-11","victor","VICTOR","sears","ecatepec las americas - 115","proform","PFTL80916","","","CONFIRMADO CON MONICA HERNANDEZ PARA MIERCOLES 11/03/2020 ENTRE 10AM Y 6PM//LLAMAR 1 HR ANTES//  EQUIPO YA ESTA EN EL LUGAR DE ARMADO",""
"202229","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2349350099 | 8 de marzo de 2020 00:26 hs.","Gimnasio En Casa Gold's Gym Crossfit Y Ejercicio Funcional $ 620 WGGDG12",""
"202228","Icon","Nueva","Foraneo","2020-03-12","cristina","Leon Guanajuato - Julio","liverpool","leon - 71","proform","","","","PFTL39519",""
"202227","Icon","Nueva","Foraneo","2020-03-12","cristina","Leon Guanajuato - Julio","liverpool","leon - 71","proform","otro","","","PFTL39519",""
"202226","eComerce","Terminada","Local","2020-03-11","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2349203608 | 7 de marzo de 2020 18:46 hs.","Caminadora Motor De 3.5 Chp Proform 1300 Usuario De 150 Kg $ 35990 PFTL13115 / llamar 1 hora antes de ir / horario de 10 a 5/ subir 1 nivel / escaleras amplias / armado  $450",""
"202225","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","otro","otro","","Venta #2348902024 | 7 de marzo de 2020 12:30 hs.
paquete express 21175422519","Caminadora Curva Uso Intermedio Bajo Mtto. Alto Rendimiento  MX-SW-500-A $ 45990",""
"202224","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","otro","otro","","dom. 8 de marzo de 2020 22:35 CST 701-8600766-4699447","Nordictrack Bicicleta de Spinning   NTEX03917  $7990.00",""
"202223","Tecnoservicio","Nueva","Local","2020-03-12","Yuridia.Rivas","tecnico_ausente","otro","otro","proform","","","","mantenimiento $750/ llamar 1 hora ante de llegar",""
"202222","eComerce","Nueva","Local","2020-03-11","cristina","tecnico_ausente","otro","otro","otro","otro","","","VENTA DE ELIPTICA 225 $6750/ LLAMAR 1 HORA ANTES DE IR / HORARIO DE 10 A 5 / ARMADO  $450/ subir 4 pisos",""
"202221","eComerce","Terminada","Local","2020-03-09","cristina","tecnico_ausente","otro","otro","otro","otro","","dom. 8 de marzo de 2020 19:00 CST 702-5655179-5935455","Schwinn Triciclo Rojo Sting-Ray $1990.00",""
"202220","Icon","Nueva","Local","2020-03-11","Yuridia.Rivas","VICTOR","marti","eureka - 4116","proform","","","pftl79117","",""
"202219","Icon","Nueva","Foraneo","2020-03-11","Yuridia.Rivas","Puebla - Jose Luis Cruz","marti","plaza dorada  - 4286","proform","","","PFTL50717","",""
"202218","Icon","Nueva","Local","2020-03-11","cristina","VICTOR","liverpool","centro - 1","weslo","WLTL29816","","","llamar 1 hora antes de llegar/ pasar entre 10-2 pm",""
"202217","eComerce","Terminada","Local","2020-03-11","cristina","tecnico_ausente","otro","otro","otro","otro","","sáb. 7 de marzo de 2020 19:04 CST 702-2641619-5772228","LUBRIGYM 3PACK  $630.00/LLAMAR 1 HORA ANTES DE IR / HORARIO DE 10 A 5/ ENTREGA DE LUBRICANTES",""
"202216","Icon","Nueva","Foraneo","2020-03-12","cristina","Durango - Carlos Salinas","liverpool","durango - 89","nordic track","NTL17219","","","",""
"202215","Icon","Nueva","Foraneo","2020-03-11","Yuridia.Rivas","San Luis Potosi-Pedro Montiel","sears","tangamanga - 206","proform","PFTL60916","","","",""
"202214","Icon","Nueva","Local","2020-03-13","maya","VICTOR","liverpool","ecatepec - 80","nordic track","21918","","","",""
"202213","Icon","Nueva","Local","2020-03-17","maya","VICTOR","liverpool","ecatepec - 80","proform","pftl39513","","","",""
"202212","Tecnoservicio","Nueva","Local","2020-03-11","Yuridia.Rivas","tecnico_ausente","otro","otro","proform","","","","se acelera mucho/ rev $450/ llamar 1 hora antes de llegar",""
"202211","Icon","Nueva","Local","2020-03-16","maya","VICTOR","liverpool","ecatepec - 80","nordic track","21918","","","",""
"202210","Tecnoservicio","Nueva","Local","2020-03-11","Yuridia.Rivas","tecnico_ausente","otro","otro","proform","","","","la banda se fue de lado y se doblo/ revision $450/ llamar 1 hora antes de llegar",""
"202209","Tecnoservicio","Nueva","Local","2020-03-11","maya","tecnico_ausente","liverpool","insurgentes - 2","proform","PFTL49616-MX","","","",""
"202208","Icon","Nueva","Foraneo","2020-03-16","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","otro","MM230G0605297","24035","",""
"202207","Icon","Nueva","Foraneo","2020-03-16","victor","ESPERA_DE_PARTES","liverpool","liverpool","nordic track","NTL14216","KK730C0105921","","",""
