"321162","3/8/2019 05:58:12.862869+00","armado exitoso modelo y version PFTL34616.2 SPORT 4.0 serie MM210C0201983","135573","56"
"321161","3/8/2019 04:49:29.110657+00","SE ARMÓ EQUIPO QUEDANDO FUNCIONANDO SÉRIE # KK920C0204674 VERSIÓN . 2
ME RECIBIÓ ESPOSA DE CLIENTE
PASAJE $50 PESOS","135967","232"
"321160","3/8/2019 04:47:37.206534+00","SE ARMÓ EQUIPO QUEDANDO FUNCIONANDO SÉRIE # MM910C0304610 VERSIÓN . 3
ME RECIBIÓ ESPOSO DE CLIENTE","135943","232"
"321159","3/8/2019 04:45:34.335846+00","SE ARMÓ EQUIPO QUEDANDO FUNCIONANDO SÉRIE #MM900C0220774 VERSIÓN . 2
ME RECIBIÓ LA ESPOSA DE CLIENTE
PASAJE $80 PESOS","135782","232"
"321158","3/8/2019 04:42:10.976538+00","SE ARMÓ EQUIPO QUEDANDO FUNCIONANDO SÉRIE # MM420C0503154 VERSIÓN . 5
ME RECIBIÓ LA DUEÑA","135688","232"
"321157","3/8/2019 03:37:30.032418+00","02/08/19 MOD. NTRW59147.1 S/KK941R0103018 SE ARMO Y SE DEJO FUNCIONANDO","136012","103"
"321156","3/8/2019 03:33:05.416844+00","SE ARMO Y SE DEJO FUNCIONANDO","135822","103"
"321155","3/8/2019 03:32:47.117988+00","31/07/19 MOD, NTL14216.1 S/MM010C0109730","135822","103"
"321154","3/8/2019 03:29:39.427621+00","02/08/19 MOD. 25027.8 S/MM910C0801373 SE ARMO Y SE DEJO FUNCIONANDO SOLICITAR TABLA Y BANDA DE PISO YA QUE LA TABLA ESTA RAYADA PARTES 44 Y 45","135732","103"
"321153","3/8/2019 01:32:32.585213+00","SERVICIO REALIZADO
NS.  MM320G0301892","135768","40"
"321152","3/8/2019 01:29:40.566324+00","SERVICIO REALIZADO
NS.  MM810C0209296","135979","40"
"321151","3/8/2019 01:19:08.304513+00","Se le ha llamado al cliente y no respode hoy otra vez se le llamó. ","134107","235"
"321150","3/8/2019 00:51:33.138475+00","24035.6, MM120G0600854, Armado 2 agosto","135936","33"
"321149","2/8/2019 23:00:07.644497+00","armado   en tienda ","136067","113"
"321148","2/8/2019 22:56:39.233547+00","PFTL60916.5 MM510C0500660, Armado 2 agosto. ","135987","33"
"321147","2/8/2019 22:51:22.885957+00","VERSIÓN 3;
No. SERIE: MM320G0301870;
ARMADO.","135891","66"
"321146","2/8/2019 22:50:12.4434+00","VERSIÓN 5;
No. SERIE: MM510C0505633;
ARMADO","135717","66"
"321145","2/8/2019 22:41:41.296553+00","confirmado con Eduardo para el Lunes 05/08/19 cliente indica que el equipo está en el lugar de armado  ","135978","7"
"321144","2/8/2019 22:36:12.68261+00","confirmado con Maria para el Lunes 05/08/19 cliente indica que el equipo está en el lugar de armado  ","135939","7"
"321143","2/8/2019 22:32:35.19424+00","cliente realizo el armado  ","135940","7"
"321142","2/8/2019 22:27:15.553945+00","confirmado con Gerardo para el Lunes 05/08/19 cliente indica que el equipo está en el lugar de armado  ","135948","7"
"321141","2/8/2019 21:46:37.047127+00","piezas solicitadas","135050","99"
"321140","2/8/2019 21:43:58.645106+00","CONFIRMADO LLAMAR 1 HORA ANTES DE IR lUNES 05 AGOSTO S/H","135999","253"
"321139","2/8/2019 21:40:55.801305+00","PAGÓ EN MERCADO PAGO","136060","113"
"321138","2/8/2019 21:38:12.111869+00","EL CLIENTE INDICA QUE EL EQUIPO SE TIENE QUE SUBIR AL SEGUNDO PISO. SE LE COMENTO QUE ESA MANIOBRA LA TIENE QUE REALIZAR TIENDA.","135270","99"
"321137","2/8/2019 21:34:27.041602+00","n/c se dejó  recado en el buzón  ","135927","7"
